E1,E2,beta,pvalue,intercept,rvalue,stderr
ML FP Equity,PCAR US Equity,0.12412872554784428,0.02149572266457601,0.0007520194505692652,0.16091191297686283,0.053568788592883304
ML FP Equity,WMT US Equity,0.12776350563115121,0.03670955131342532,0.0006139819470528286,0.14636861410493673,0.06075478735217104
ML FP Equity,TXT US Equity,0.18841517204772226,0.002218939050363819,0.0006024208672843889,0.2130350237767241,0.06079999590019918
ML FP Equity,AAL LN Equity,0.07076258331351061,0.01673809969409591,0.0004932055026220621,0.16734762506984063,0.02933191418198376
ML FP Equity,HOG US Equity,0.0965302612820285,0.029486232924334624,0.0007140423271681537,0.15245987423986257,0.04402762722213065
ML FP Equity,600066 CH Equity,-0.10328516104304099,0.01486386877710327,0.0005817264082059682,-0.17033025568130047,0.042041411704638966
ML FP Equity,RACE US Equity,0.1027529417934846,0.024130331401837523,0.0005976778781943198,0.15786364905914793,0.04522268657278682
ML FP Equity,APTY IN Equity,0.13280702803243644,0.0002963359026271163,0.00044447767079775803,0.250823694457463,0.036063417480812786
ML FP Equity,BWA US Equity,0.15776241316931458,0.00015262814564281395,0.0007230035937516571,0.26208679100574916,0.040872384533378686
ML FP Equity,CON GR Equity,0.42622106892251616,7.378907230917943e-15,0.00041758597310813264,0.5092449586061246,0.050680949492168684
ML FP Equity,CTB US Equity,0.14441045425324694,1.1287941165671681e-06,0.0007803987054944988,0.3330751512754643,0.028763814654402097
ML FP Equity,CPS US Equity,0.18554611728538384,0.0001710316036391417,0.0006529161818421122,0.2601898817559804,0.048446667638991095
ML FP Equity,EO FP Equity,0.37812274250828165,4.271484331493498e-17,-0.0003013386873939956,0.5438022680618738,0.04105712151664659
ML FP Equity,GT US Equity,0.13803213836020103,0.0005207282265806427,0.001107638439717363,0.24083307603793155,0.039139359872030925
ML FP Equity,LEA US Equity,0.20053751447575208,2.984142219241088e-05,0.0006708429331330052,0.28784431262169347,0.046944146334864344
ML FP Equity,MG CN Equity,0.1620356841873956,0.0016218149940565522,0.0005218932046242209,0.21933526334716094,0.050713124660375
ML FP Equity,MRF IN Equity,0.0974412095564386,0.020441950184033254,0.0006452644615682231,0.16222223892528637,0.04170283647151709
ML FP Equity,NRE1V FH Equity,0.28194437515037735,7.358836107874331e-07,0.0006153141733555096,0.33847676555401146,0.05514890036410512
ML FP Equity,FR FP Equity,0.345039047892033,4.874083602417307e-15,2.1609683328932083e-05,0.5121765745852398,0.040710405616802045
SIPH FP Equity,7211 JP Equity,0.1449039319463827,0.04352600275839178,0.0012511056308848714,0.14148977311573535,0.07133262140079999
SIPH FP Equity,175 HK Equity,0.11503896537739342,0.02324476766498922,0.001530618871913124,0.15885476268423182,0.05030591381448015
SIPH FP Equity,AAL LN Equity,0.14180417310752974,0.011823985468463515,0.0011371654443396945,0.17595399740744422,0.05581938973291955
SIPH FP Equity,RACE US Equity,0.24181376219083628,0.005209284164088231,0.0012979374514159286,0.1949230232924343,0.08561125400562562
SIPH FP Equity,SIPH FP Equity.1,1.0,0.0,0.0,1.0,0.0
SIPH FP Equity,EO FP Equity,0.22405105287753607,0.01563629119483948,0.0010100770292223865,0.1690633445995289,0.0919019716109425
CBT US Equity,OEC US Equity,0.3466315447630109,3.5330742871554347e-10,-2.2951751963955517e-05,0.42120592907994886,0.052515616008090675
CBT US Equity,BEKB BB Equity,0.15628669511474472,0.0012829453699445353,0.0008601725917194812,0.2239350563114299,0.04785776982425788
CBT US Equity,CAMP US Equity,0.12934334289986338,0.007248427121028112,0.0005412279621978039,0.18748431117201358,0.04767967461651163
CBT US Equity,SOP FP Equity,0.2844301789447743,0.0005507637323250469,-0.0001218055369100274,0.23981642077361304,0.08101380065602523
CBT US Equity,ATO FP Equity,0.2817533642683688,0.0013207262802403285,4.765849051415453e-05,0.22337042934640486,0.08650748724427926
CBT US Equity,ALFA SS Equity,0.3739694582766262,3.935167180389379e-05,-8.52446456884858e-05,0.28365384623610423,0.08895230444481046
CBT US Equity,CAP FP Equity,0.20006006858219105,0.011574029287140278,0.00010073467345940006,0.17647122684140826,0.07851287259932797
CBT US Equity,DSY FP Equity,0.20615699421466577,0.028074357906659617,0.0002675775172711072,0.15379699258333704,0.09319154872475623
CBT US Equity,MPWR US Equity,0.3504917357122283,4.389398759974358e-07,5.094181371379674e-05,0.34486711570499784,0.06712042526961953
CBT US Equity,ORBC US Equity,0.30837197919848447,8.812844137100077e-06,0.0007894358746254043,0.30557406996311975,0.06760774449166503
CBT US Equity,ORCL US Equity,0.23314354404472054,0.001994883840363098,0.0003354902758324513,0.21519392947758895,0.07444262276664892
CBT US Equity,VOW GR Equity,0.3209341810507524,5.4219063049656896e-05,3.469875498790542e-05,0.27871415511297215,0.07780754354702482
CBT US Equity,DAI GR Equity,0.3641537062874936,0.0013188609169090214,0.0001392881769241324,0.2233979574377706,0.11179258320056172
CBT US Equity,BMW GR Equity,0.3285666974402066,0.0022782707063940004,7.828727363518067e-05,0.2124966176858354,0.10630711145603798
CBT US Equity,F US Equity,0.25693205679500675,0.0012390638372068283,0.0008345679846783812,0.22461030310535043,0.0784281376431221
CBT US Equity,GM US Equity,0.2953437568882084,5.4596781681257886e-05,0.000575100902630615,0.2786061153838474,0.0716334853097505
CBT US Equity,FCAU US Equity,0.19090796964720677,6.785938575754093e-05,-0.00035557829012381446,0.27519897751611105,0.04692453036012316
CBT US Equity,UG FP Equity,0.1633278784243975,0.01383762981351149,2.4457456344405325e-05,0.17210569778964016,0.06577490401099281
CBT US Equity,DE US Equity,0.34902225092211603,6.848770309808012e-07,8.747602413137047e-05,0.3393737327601655,0.06806565258062347
CBT US Equity,TTMT IN Equity,0.15201012932610386,0.014311727156559532,0.0003158301853207558,0.17127164591621427,0.06152424409000453
CBT US Equity,BA US Equity,0.4012862003041039,5.042817359547859e-07,-0.00010595966789872285,0.34316480390694654,0.07728027543054136
