currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geotime,date,value
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2018-01-01,94
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2018-04-01,3
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2018-01-01,2474
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU,2018-04-01,942
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV,2017-10-01,
