unit,age,sex,lmp_type,geotime,date,value
RT,TOTAL,T,TOT2_7,FI,2007-01-01,27
RT,TOTAL,T,TOT2_7,FI,2008-01-01,29
RT,TOTAL,T,TOT2_7,FI,2009-01-01,24
RT,TOTAL,T,TOT2_7,FI,2010-01-01,27
RT,TOTAL,T,TOT2_7,FI,2011-01-01,30
RT,TOTAL,T,TOT2_7,FI,2012-01-01,29
RT,TOTAL,T,TOT2_7,FI,2013-01-01,28
RT,TOTAL,T,TOT2_7,FI,2014-01-01,29
RT,TOTAL,T,TOT2_7,FI,2015-01-01,26
RT,TOTAL,T,TOT2_7,FI,2016-01-01,27
RT,TOTAL,T,TOT2_7,FR,2005-01-01,43
RT,TOTAL,T,TOT2_7,FR,2006-01-01,45
RT,TOTAL,T,TOT2_7,FR,2007-01-01,51
RT,TOTAL,T,TOT2_7,FR,2008-01-01,51
RT,TOTAL,T,TOT2_7,FR,2009-01-01,40
RT,TOTAL,T,TOT2_7,FR,2010-01-01,43
RT,TOTAL,T,TOT2_7,FR,2011-01-01,40
RT,TOTAL,T,TOT2_7,FR,2012-01-01,37
RT,TOTAL,T,TOT2_7,FR,2013-01-01,40
RT,TOTAL,T,TOT2_7,FR,2014-01-01,40
RT,TOTAL,T,TOT2_7,FR,2015-01-01,41
RT,TOTAL,T,TOT2_7,FR,2016-01-01,43
RT,TOTAL,T,TOT2_7,HR,2005-01-01,
RT,TOTAL,T,TOT2_7,HR,2006-01-01,
RT,TOTAL,T,TOT2_7,HR,2007-01-01,
RT,TOTAL,T,TOT2_7,HR,2008-01-01,
RT,TOTAL,T,TOT2_7,HR,2009-01-01,
RT,TOTAL,T,TOT2_7,HR,2010-01-01,
RT,TOTAL,T,TOT2_7,HR,2011-01-01,
RT,TOTAL,T,TOT2_7,HR,2012-01-01,3
RT,TOTAL,T,TOT2_7,HR,2013-01-01,4
RT,TOTAL,T,TOT2_7,HR,2014-01-01,4
RT,TOTAL,T,TOT2_7,HR,2015-01-01,6
RT,TOTAL,T,TOT2_7,HR,2016-01-01,7
RT,TOTAL,T,TOT2_7,HU,2005-01-01,11
RT,TOTAL,T,TOT2_7,HU,2006-01-01,
RT,TOTAL,T,TOT2_7,HU,2007-01-01,
RT,TOTAL,T,TOT2_7,HU,2008-01-01,18
RT,TOTAL,T,TOT2_7,HU,2009-01-01,16
RT,TOTAL,T,TOT2_7,HU,2010-01-01,25
RT,TOTAL,T,TOT2_7,HU,2011-01-01,19
RT,TOTAL,T,TOT2_7,HU,2012-01-01,37
RT,TOTAL,T,TOT2_7,HU,2013-01-01,37
RT,TOTAL,T,TOT2_7,HU,2014-01-01,35
RT,TOTAL,T,TOT2_7,HU,2015-01-01,40
RT,TOTAL,T,TOT2_7,HU,2016-01-01,51
RT,TOTAL,T,TOT2_7,IE,2005-01-01,34
RT,TOTAL,T,TOT2_7,IE,2006-01-01,32
RT,TOTAL,T,TOT2_7,IE,2007-01-01,34
RT,TOTAL,T,TOT2_7,IE,2008-01-01,29
RT,TOTAL,T,TOT2_7,IE,2009-01-01,23
RT,TOTAL,T,TOT2_7,IE,2010-01-01,21
RT,TOTAL,T,TOT2_7,IE,2011-01-01,19
RT,TOTAL,T,TOT2_7,IE,2012-01-01,19
RT,TOTAL,T,TOT2_7,IE,2013-01-01,21
