age,sex,hhtyp,indic_il,workint,geotime,date,value
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2008-01-01,28.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2009-01-01,24.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2010-01-01,30.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2011-01-01,34.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2012-01-01,38.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2013-01-01,38.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2014-01-01,39.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2015-01-01,36.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2016-01-01,43.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2017-01-01,45.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2006-01-01,57.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2007-01-01,49.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2008-01-01,44.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2009-01-01,33.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2010-01-01,33.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2011-01-01,31.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2012-01-01,38.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2013-01-01,39.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2014-01-01,39.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2015-01-01,46.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2016-01-01,48.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IE,2017-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2006-01-01,24.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2007-01-01,16.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2008-01-01,32.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2009-01-01,46.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2010-01-01,28.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2011-01-01,30.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2012-01-01,33.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2013-01-01,30.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2014-01-01,30.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2015-01-01,31.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2016-01-01,32.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IS,2017-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2006-01-01,38.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2007-01-01,38.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2008-01-01,42.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2009-01-01,37.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2010-01-01,42.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2011-01-01,44.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2012-01-01,41.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2013-01-01,44.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2014-01-01,46.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2015-01-01,41.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2016-01-01,48.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,IT,2017-01-01,43.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2006-01-01,56.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2007-01-01,63.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2008-01-01,67.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2009-01-01,69.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2010-01-01,59.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2011-01-01,58.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2012-01-01,60.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2013-01-01,61.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2014-01-01,61.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2015-01-01,63.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2016-01-01,73.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LT,2017-01-01,69.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2006-01-01,34.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2007-01-01,31.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2008-01-01,37.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2009-01-01,33.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2010-01-01,34.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2011-01-01,33.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2012-01-01,33.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2013-01-01,36.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2014-01-01,40.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2015-01-01,28.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2016-01-01,35.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LU,2017-01-01,38.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2006-01-01,76.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2007-01-01,78.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2008-01-01,83.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2009-01-01,78.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2010-01-01,62.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2011-01-01,59.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2012-01-01,63.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2013-01-01,68.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2014-01-01,69.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2015-01-01,73.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,LV,2016-01-01,71.9
