unit,incgrp,hhtyp,n_item,geotime,date,value
PC,TOTAL,TOTAL,0,TR,2013-01-01,47
PC,TOTAL,TOTAL,0,TR,2014-01-01,50
PC,TOTAL,TOTAL,0,TR,2015-01-01,51
PC,TOTAL,TOTAL,0,TR,2016-01-01,
PC,TOTAL,TOTAL,0,TR,2017-01-01,
PC,TOTAL,TOTAL,0,UK,2006-01-01,78
PC,TOTAL,TOTAL,0,UK,2007-01-01,76
PC,TOTAL,TOTAL,0,UK,2008-01-01,77
PC,TOTAL,TOTAL,0,UK,2009-01-01,77
PC,TOTAL,TOTAL,0,UK,2010-01-01,77
PC,TOTAL,TOTAL,0,UK,2011-01-01,77
PC,TOTAL,TOTAL,0,UK,2012-01-01,78
PC,TOTAL,TOTAL,0,UK,2013-01-01,80
PC,TOTAL,TOTAL,0,UK,2014-01-01,79
PC,TOTAL,TOTAL,0,UK,2015-01-01,81
PC,TOTAL,TOTAL,0,UK,2016-01-01,80
PC,TOTAL,TOTAL,0,UK,2017-01-01,
PC,TOTAL,TOTAL,1,AT,2006-01-01,11
PC,TOTAL,TOTAL,1,AT,2007-01-01,11
PC,TOTAL,TOTAL,1,AT,2008-01-01,14
PC,TOTAL,TOTAL,1,AT,2009-01-01,16
PC,TOTAL,TOTAL,1,AT,2010-01-01,16
PC,TOTAL,TOTAL,1,AT,2011-01-01,15
PC,TOTAL,TOTAL,1,AT,2012-01-01,13
PC,TOTAL,TOTAL,1,AT,2013-01-01,13
PC,TOTAL,TOTAL,1,AT,2014-01-01,12
PC,TOTAL,TOTAL,1,AT,2015-01-01,13
PC,TOTAL,TOTAL,1,AT,2016-01-01,12
PC,TOTAL,TOTAL,1,AT,2017-01-01,13
PC,TOTAL,TOTAL,1,BE,2006-01-01,18
PC,TOTAL,TOTAL,1,BE,2007-01-01,16
PC,TOTAL,TOTAL,1,BE,2008-01-01,19
PC,TOTAL,TOTAL,1,BE,2009-01-01,17
PC,TOTAL,TOTAL,1,BE,2010-01-01,20
PC,TOTAL,TOTAL,1,BE,2011-01-01,22
